country_code,country_full,brand,num_ads,total_ads,pct
17,germany,VW,286456,1666829,0.1719
17,germany,MERCEDES_BENZ,222165,1666829,0.1333
17,germany,AUDI,145063,1666829,0.087
17,germany,BMW,144013,1666829,0.0864
17,germany,OPEL,122611,1666829,0.0736
17,germany,FORD,115295,1666829,0.0692
17,germany,SKODA,77324,1666829,0.0464
17,germany,HYUNDAI,52232,1666829,0.0313
17,germany,PEUGEOT,50464,1666829,0.0303
17,germany,RENAULT,49458,1666829,0.0297
17,germany,SEAT,43497,1666829,0.0261
17,germany,KIA,35303,1666829,0.0212
17,germany,TOYOTA,35235,1666829,0.0211
17,germany,FIAT,29359,1666829,0.0176
17,germany,CUPRA,27451,1666829,0.0165
17,germany,VOLVO,24572,1666829,0.0147
17,germany,CITROEN,23668,1666829,0.0142
17,germany,NISSAN,23112,1666829,0.0139
17,germany,DACIA,22712,1666829,0.0136
17,germany,PORSCHE,19666,1666829,0.0118
17,germany,MAZDA,19106,1666829,0.0115
17,germany,MINI,18982,1666829,0.0114
17,germany,LAND_ROVER,12459,1666829,0.0075
17,germany,JEEP,11003,1666829,0.0066
17,germany,SUZUKI,10502,1666829,0.0063
17,germany,MITSUBISHI,10460,1666829,0.0063
17,germany,ALFA_ROMEO,5383,1666829,0.0032
17,germany,HONDA,5013,1666829,0.003
17,germany,JAGUAR,4980,1666829,0.003
17,germany,MG,3553,1666829,0.0021
17,germany,TESLA,2689,1666829,0.0016
17,germany,CHEVROLET,2596,1666829,0.0016
17,germany,DODGE,2432,1666829,0.0015
17,germany,FERRARI,1631,1666829,0.001
17,germany,MASERATI,1067,1666829,0.0006
17,germany,MAXUS,915,1666829,0.0005
17,germany,BENTLEY,830,1666829,0.0005
17,germany,LAMBORGHINI,753,1666829,0.0005
17,germany,ASTON_MARTIN,720,1666829,0.0004
17,germany,POLESTAR,715,1666829,0.0004
17,germany,ALPINA,653,1666829,0.0004
17,germany,BYD,337,1666829,0.0002
17,germany,LOTUS,202,1666829,0.0001
17,germany,XPENG,186,1666829,0.0001
17,germany,AIWAYS,6,1666829,0.0
