country_code,country_full,segment,brand,num_ads,total_ads,pct
17,germany,EV,MERCEDES_BENZ,15794,124123,0.1272
17,germany,EV,VW,15540,124123,0.1252
17,germany,EV,OPEL,11669,124123,0.094
17,germany,EV,AUDI,11330,124123,0.0913
17,germany,EV,RENAULT,8697,124123,0.0701
17,germany,EV,BMW,7679,124123,0.0619
17,germany,EV,PEUGEOT,7478,124123,0.0602
17,germany,EV,HYUNDAI,7168,124123,0.0577
17,germany,EV,FIAT,5091,124123,0.041
17,germany,EV,SKODA,3399,124123,0.0274
17,germany,EV,KIA,3398,124123,0.0274
17,germany,EV,MINI,3280,124123,0.0264
17,germany,EV,TESLA,2818,124123,0.0227
17,germany,EV,FORD,2435,124123,0.0196
17,germany,EV,CUPRA,2218,124123,0.0179
17,germany,EV,DACIA,2172,124123,0.0175
17,germany,EV,PORSCHE,2132,124123,0.0172
17,germany,EV,VOLVO,1850,124123,0.0149
17,germany,EV,MG,1760,124123,0.0142
17,germany,EV,NISSAN,1628,124123,0.0131
17,germany,EV,CITROEN,1505,124123,0.0121
17,germany,EV,MAZDA,921,124123,0.0074
17,germany,EV,TOYOTA,792,124123,0.0064
17,germany,EV,POLESTAR,790,124123,0.0064
17,germany,EV,MAXUS,631,124123,0.0051
17,germany,EV,BYD,415,124123,0.0033
17,germany,EV,JEEP,342,124123,0.0028
17,germany,EV,JAGUAR,305,124123,0.0025
17,germany,EV,XPENG,243,124123,0.002
17,germany,EV,SEAT,207,124123,0.0017
17,germany,EV,ALFA_ROMEO,170,124123,0.0014
17,germany,EV,HONDA,156,124123,0.0013
17,germany,EV,LOTUS,43,124123,3e-4
17,germany,EV,MITSUBISHI,33,124123,3e-4
17,germany,EV,MASERATI,23,124123,2e-4
17,germany,EV,AIWAYS,7,124123,1e-4
17,germany,EV,SUZUKI,2,124123,0
17,germany,EV,LAND_ROVER,2,124123,0
0,Denmark,EV,VW,14317,63340,0.226
0,Denmark,EV,MERCEDES_BENZ,5768,63340,0.0911
0,Denmark,EV,SKODA,4917,63340,0.0776
0,Denmark,EV,AUDI,4495,63340,0.071
0,Denmark,EV,TESLA,3899,63340,0.0616
0,Denmark,EV,BMW,3852,63340,0.0608
0,Denmark,EV,VOLVO,2907,63340,0.0459
0,Denmark,EV,OPEL,2472,63340,0.039
0,Denmark,EV,HYUNDAI,2214,63340,0.035
0,Denmark,EV,POLESTAR,1997,63340,0.0315
0,Denmark,EV,MINI,1869,63340,0.0295
0,Denmark,EV,CUPRA,1806,63340,0.0285
0,Denmark,EV,KIA,1806,63340,0.0285
0,Denmark,EV,RENAULT,1720,63340,0.0272
0,Denmark,EV,PEUGEOT,1596,63340,0.0252
0,Denmark,EV,FIAT,1478,63340,0.0233
0,Denmark,EV,FORD,1391,63340,0.022
0,Denmark,EV,MG,1106,63340,0.0175
0,Denmark,EV,CITROEN,774,63340,0.0122
0,Denmark,EV,NISSAN,567,63340,0.009
0,Denmark,EV,BYD,483,63340,0.0076
0,Denmark,EV,TOYOTA,349,63340,0.0055
0,Denmark,EV,PORSCHE,296,63340,0.0047
0,Denmark,EV,MAZDA,279,63340,0.0044
0,Denmark,EV,XPENG,259,63340,0.0041
0,Denmark,EV,MAXUS,203,63340,0.0032
